thr,N,M,time,K
4,150,15,0.000653625,235
4,150,15,0.000582416,314
4,150,15,0.000783458,301
4,150,15,0.000578959,250
4,150,15,0.000631167,309
4,150,15,0.000569709,322
4,150,15,0.0007885,291
4,150,15,0.000520125,351
4,150,15,0.000518833,375
4,150,15,0.000510625,342
4,150,15,0.000748167,280
4,150,15,0.000521459,247
4,150,15,0.00052,299
4,150,15,0.000499875,292
4,150,15,0.000899041,342
4,150,15,0.000647209,272
4,150,15,0.000514291,280
4,150,15,0.00088125,249
4,150,15,0.000513,311
4,150,15,0.00059975,200
4,150,15,0.00108133,292
4,150,15,0.000512,388
4,150,15,0.000586625,353
4,150,15,0.000902917,379
4,150,15,0.000527167,280
4,150,15,0.000584958,181
4,150,15,0.000856292,194
4,150,15,0.00065025,277
4,150,15,0.00121483,258
4,150,15,0.00069225,257
4,150,15,0.000506541,375
4,150,15,0.00110942,224
4,150,15,0.00134071,265
4,150,15,0.000779584,180
4,150,15,0.000515417,352
4,150,15,0.00113429,207
4,150,15,0.000635125,179
4,150,15,0.000560708,295
4,150,15,0.000497666,213
4,150,15,0.000516791,274
4,150,15,0.000767166,364
4,150,15,0.000508958,310
4,150,15,0.000529,255
4,150,15,0.0006375,259
4,150,15,0.000692625,278
4,150,15,0.000632916,287
4,150,15,0.000852917,260
4,150,15,0.000561709,229
4,150,15,0.000646709,269
4,150,15,0.000698334,289
4,150,15,0.00121363,290
4,150,15,0.000683125,197
4,150,15,0.000508041,344
4,150,15,0.000506458,148
4,150,15,0.000626042,343
4,150,15,0.000506417,370
4,150,15,0.000498042,377
4,150,15,0.00104746,180
4,150,15,0.000719583,303
4,150,15,0.000500792,386
4,150,15,0.000560833,402
4,150,15,0.000648875,285
4,150,15,0.000583167,365
4,150,15,0.000584583,303
4,150,15,0.000696791,178
4,150,15,0.000706709,198
4,150,15,0.000569792,187
4,150,15,0.000631,362
4,150,15,0.000500583,406
4,150,15,0.000632917,227
4,150,15,0.000573458,240
4,150,15,0.000592708,263
4,150,15,0.000503583,274
4,150,15,0.000522166,153
4,150,15,0.000504167,251
4,150,15,0.000693542,295
4,150,15,0.000647834,275
4,150,15,0.000583125,246
4,150,15,0.000622083,150
4,150,15,0.000629458,352
4,150,15,0.000714541,218
4,150,15,0.000659375,310
4,150,15,0.000667542,246
4,150,15,0.0005245,326
4,150,15,0.00101854,210
4,150,15,0.000573,439
4,150,15,0.000554208,299
4,150,15,0.000507,393
4,150,15,0.000491458,277
4,150,15,0.000629208,300
4,150,15,0.000501208,306
4,150,15,0.000588208,144
4,150,15,0.000517292,399
4,150,15,0.000709792,308
4,150,15,0.000626166,171
4,150,15,0.0005775,355
4,150,15,0.00131737,221
4,150,15,0.000560791,369
4,150,15,0.000896875,339
4,150,15,0.000558,238
4,150,15,0.000904167,304
4,150,15,0.000909917,311
4,150,15,0.000755833,280
4,150,15,0.000561167,497
4,150,15,0.000499083,412
4,150,15,0.000559084,294
